Left_2D,Right_2D,3D_Point,Pred_left,Pred_right,Pred_3d
"(158.0, 428.0)","(1124.0, 432.0)","(556.6852416992188, -547.6202392578125, 285.8164367675781)","(162.56, 429.02)","(1113.75, 435.6)","(556.662354,-545.599243,285.733093)"
"(160.0, 427.0)","(1118.0, 434.0)","(556.445068359375, -546.646484375, 285.54168701171875)","(163.3, 427.65)","(1113.0, 435.55)","(556.689941,-545.542786,285.654419)"
"(160.0, 427.0)","(1120.0, 435.0)","(556.72216796875, -546.8197631835938, 285.634521484375)","(164.32, 427.5)","(1112.57, 435.72)","(556.880005,-545.381592,285.735565)"
"(162.0, 427.0)","(1117.0, 434.0)","(556.8019409179688, -546.3099365234375, 285.72943115234375)","(165.2, 427.33)","(1112.29, 435.57)","(557.044922,-545.275574,285.816772)"
"(162.0, 426.0)","(1116.0, 434.0)","(556.6375732421875, -546.2719116210938, 285.5753479003906)","(165.84, 427.25)","(1111.96, 435.31)","(557.146301,-545.189514,285.876617)"
"(162.0, 426.0)","(1115.0, 434.0)","(556.5137329101562, -546.1534423828125, 285.5133361816406)","(166.28, 427.15)","(1111.51, 434.77)","(557.175781,-545.130615,285.911041)"
"(164.0, 427.0)","(1113.0, 433.0)","(556.7562866210938, -545.6812744140625, 285.761474609375)","(166.84, 426.93)","(1111.06, 434.19)","(557.227905,-545.070740,285.950592)"
"(172.0, 427.0)","(1106.0, 432.0)","(557.7689819335938, -544.0403442382812, 286.3504333496094)","(178.52, 427.21)","(1101.95, 432.87)","(558.849609,-542.773071,286.895477)"
"(172.0, 427.0)","(1104.0, 432.0)","(557.518798828125, -543.8023681640625, 286.2250671386719)","(178.77, 427.55)","(1100.44, 432.64)","(558.725525,-542.553101,286.869324)"
"(172.0, 427.0)","(1103.0, 432.0)","(557.3934936523438, -543.683349609375, 286.1623229980469)","(179.21, 427.58)","(1099.74, 432.62)","(558.742615,-542.420410,286.882874)"
"(174.0, 427.0)","(1103.0, 432.0)","(557.8705444335938, -543.4647827148438, 286.41015625)","(180.56, 427.98)","(1098.98, 432.55)","(558.981567,-542.154480,287.040344)"
"(166.0, 426.0)","(1102.0, 432.0)","(555.7976684570312, -544.3011474609375, 285.2645568847656)","(181.77, 428.37)","(1098.23, 432.36)","(559.184204,-541.913635,287.183838)"
