Left_2D,Right_2D,Point_3d,Pred_Left,Pred_Right
"(163.0, 426.0)","(1112.0, 435.0)","(556.4112548828125, -545.624755859375, 285.42059326171875)","(166.11, 426.55)","(1113.17, 438.87)"
"(163.0, 424.0)","(1111.0, 434.0)","(556.1771850585938, -545.7312622070312, 285.2058410644531)","(167.0, 426.4)","(1111.71, 438.64)"
"(165.0, 427.0)","(1110.0, 434.0)","(556.652587890625, -545.1522827148438, 285.66802978515625)","(167.34, 426.48)","(1110.95, 438.36)"
"(167.0, 426.0)","(1109.0, 434.0)","(556.9669189453125, -544.8955688476562, 285.7626953125)","(168.75, 426.94)","(1110.34, 438.27)"
"(167.0, 426.0)","(1108.0, 434.0)","(556.8423461914062, -544.7767333984375, 285.7003173828125)","(170.05, 426.45)","(1109.45, 438.38)"
"(170.0, 426.0)","(1108.0, 434.0)","(557.5598754882812, -544.4490356445312, 286.0730285644531)","(171.78, 426.5)","(1108.25, 438.36)"
"(170.0, 426.0)","(1107.0, 434.0)","(557.4349975585938, -544.3301391601562, 286.0104675292969)","(173.0, 426.67)","(1107.4, 438.2)"
"(171.0, 427.0)","(1106.0, 434.0)","(557.5885620117188, -544.0213623046875, 286.16339111328125)","(173.88, 426.64)","(1106.61, 438.14)"
"(171.0, 423.0)","(1104.0, 434.0)","(557.1801147460938, -544.1058959960938, 285.6722717285156)","(174.75, 426.63)","(1105.28, 438.13)"
"(173.0, 424.0)","(1103.0, 434.0)","(557.572021484375, -543.6874389648438, 285.9491271972656)","(175.28, 426.65)","(1103.68, 438.09)"
"(173.0, 426.0)","(1102.0, 434.0)","(557.5255737304688, -543.4071044921875, 286.0690612792969)","(176.22, 426.63)","(1102.94, 437.86)"
"(176.0, 427.0)","(1101.0, 434.0)","(558.1541748046875, -542.87939453125, 286.4687194824219)","(177.14, 426.64)","(1101.83, 437.81)"
"(178.0, 427.0)","(1100.0, 434.0)","(558.5046997070312, -542.5414428710938, 286.6530456542969)","(177.74, 426.56)","(1101.02, 437.93)"
"(180.0, 428.0)","(1099.0, 434.0)","(558.8933715820312, -542.1229858398438, 286.927978515625)","(178.54, 426.51)","(1099.72, 437.84)"
"(178.0, 426.0)","(1098.0, 434.0)","(558.2138671875, -542.3833618164062, 286.43585205078125)","(179.31, 426.4)","(1099.18, 437.68)"
"(181.0, 426.0)","(1097.0, 434.0)","(558.8011474609375, -541.9357299804688, 286.7431640625)","(180.67, 426.01)","(1097.86, 437.87)"
"(180.0, 426.0)","(1096.0, 434.0)","(558.4373168945312, -541.92578125, 286.5565185546875)","(181.6, 426.1)","(1096.34, 437.75)"
"(183.0, 427.0)","(1095.0, 434.0)","(559.0621948242188, -541.3975219726562, 286.9540710449219)","(182.99, 426.05)","(1095.4, 437.69)"
"(184.0, 423.0)","(1094.0, 434.0)","(559.0189208984375, -541.4909057617188, 286.6507873535156)","(183.76, 426.11)","(1094.45, 437.69)"
"(185.0, 424.0)","(1094.0, 438.0)","(559.409423828125, -541.0418701171875, 286.73687744140625)","(185.11, 426.05)","(1093.23, 437.73)"
